Animal	Species	Farm	Yield
2427	5	99	15.225751166
1438	1	15	3.3520525301
653	2	8	3.6661294279
453	3	45	6.7367875379
761	4	81	18.957965782
1973	1	49	10.103175511
2860	5	11	7.7948516772
850	5	48	12.060542625
2998	5	83	17.595335311
1288	5	98	18.243912412
2713	1	40	2.6251193632
1938	1	41	6.1347183513
1353	3	76	9.7706864678
2509	2	99	14.052356214
2041	3	13	3.7919993897
971	3	7	5.2033264045
12	5	65	11.013398155
591	3	99	12.059617567
1530	2	96	8.1685769438
2776	4	94	12.689194151
1631	2	89	8.0264723449
2244	5	6	11.702070603
2356	2	46	10.697814977
2039	1	84	14.26242989
2490	1	42	3.6926131224
339	1	22	1.8839690956
710	1	1	2.6442456573
776	5	75	7.6602408707
1446	5	13	9.1316487312
2384	1	31	7.0947944563
1965	1	77	4.890165574
2212	3	54	11.779496548
2217	2	45	8.9339016586
2313	2	90	11.125744524
12	5	65	13.058718066
1094	1	50	1.6451457619
2486	4	23	5.525194368
618	5	37	14.352194388
1092	1	32	10.444200717
1548	3	37	4.2335927237
1095	3	44	14.382011951
549	5	58	13.441619918
2072	3	31	9.4638835151
1387	4	71	14.738203181
1868	4	96	12.541194324
2604	2	59	5.5597709377
1667	5	20	4.4611610842
2273	1	43	9.5759266162
2085	5	15	7.9711773903
39	3	67	12.494565234
1503	2	73	5.3275499646
2412	5	95	16.905682973
2814	1	54	5.8388647149
2369	4	14	1.7495611153
106	1	15	3.5193378808
2661	2	74	10.01436433
56	3	24	1.6030239822
2256	3	5	-0.132667851
417	3	90	14.93996326
901	4	66	9.6226026372
716	3	90	15.074222412
1855	5	26	17.060940076
413	2	39	4.0717992479
473	5	14	2.337750849
2851	4	14	3.9176093237
1319	2	61	11.302505326
406	4	84	11.026698966
373	2	84	9.926825794
343	1	70	15.981677811
2675	2	11	3.1927886186
2658	4	100	18.011799184
819	5	56	3.740279654
152	5	51	8.0131552059
2108	1	33	3.9382368091
1544	5	69	13.382296591
2259	5	33	8.5782861691
1527	5	89	15.392321773
1298	1	35	5.3167272132
684	4	48	6.7706094904
316	1	94	11.263882126
625	3	21	11.417708274
1635	4	56	5.4488905266
150	3	16	8.6920306154
2146	2	32	7.5957137698
2280	5	71	14.731488506
566	4	16	6.9476604405
669	4	67	11.127268395
1156	5	42	9.3740592669
639	2	27	3.2521750655
1712	5	1	3.0795392785
2426	4	66	9.5058448323
10	1	75	11.557289587
2285	4	26	7.862468465
1334	5	34	9.1935176581
1005	2	31	8.8889958955
2069	2	76	4.639493986
2247	2	11	6.1258730326
886	2	44	8.5463428256
338	2	44	6.7228837962
2709	2	14	2.986143113
1273	2	19	7.898652913
848	2	39	6.4433181796
2585	3	45	4.855415481
891	4	25	9.3912256895
1521	1	79	6.8648705633
70	5	45	12.637270659
2311	2	44	12.679100352
1457	1	68	9.3569519144
1254	1	2	3.0376168883
1344	5	24	12.691389567
1790	4	4	2.1796354657
2636	4	51	15.398850418
1231	4	97	20.248284299
165	3	24	3.2884538407
2902	5	39	16.286869365
1823	2	87	16.295834578
1268	1	41	2.0270608829
2379	3	35	4.8125130513
2582	3	91	15.768628155
1042	4	46	8.5788816025
1667	5	20	10.904294314
2633	3	43	8.1284053288
2188	4	28	2.3081204518
215	2	22	6.1692195841
2913	5	51	7.8432842422
2639	3	68	7.9777966309
2007	4	73	3.3790732429
1842	4	93	15.426677401
232	1	54	4.2729419044
305	4	39	7.0172946211
1141	4	77	8.9840279679
2020	3	36	15.215492197
894	5	60	14.422749667
1483	2	53	5.53913424
186	4	36	12.565720567
1942	1	80	8.6559650806
2742	4	98	17.12785215
197	3	44	11.693943712
1582	3	8	3.7816634245
492	2	66	13.471013
2708	3	73	15.702948529
2280	5	71	7.5397944166
2382	5	56	8.1962939214
1549	5	65	8.776423262
1231	4	97	20.1543994
1006	2	78	10.176739225
1064	5	94	6.9076951029
1874	5	16	11.612636355
388	1	18	4.5453850097
974	3	15	6.0692126794
1107	4	1	11.612326695
477	2	94	10.878598152
882	1	16	1.642480462
162	2	27	7.0412943529
1233	1	20	2.1906538702
1147	4	29	3.6009171133
2608	1	65	7.2400512016
2983	1	54	14.182625045
528	2	17	0.1316530865
2116	4	69	14.329465304
1618	3	30	4.3252066944
2026	5	55	14.598984953
2550	5	36	8.4497290508
1499	5	6	8.3852773487
1109	2	8	-4.183803335
2966	2	87	13.494483047
2282	3	13	3.8268916784
1999	5	3	6.2107484457
2701	3	42	11.92954587
2786	4	2	9.0103511999
1077	5	92	14.553765507
2612	4	38	13.244967477
2889	2	8	6.6025202141
556	4	23	2.8146348565
1260	3	47	12.748897976
2715	3	37	6.9398752376
2342	5	17	10.14105854
1245	1	38	7.7380289169
154	3	39	5.2254838577
2040	3	89	13.177269525
1065	4	77	11.520458551
302	1	90	10.991393099
892	3	77	6.7922156458
269	2	71	8.9391561513
662	2	22	2.280922399
1810	4	75	12.220783553
1109	2	8	-0.846081037
450	3	79	10.359154472
2996	4	66	8.9407436282
1572	2	57	13.251323202
2939	3	75	11.67006695
856	5	93	13.902420516
1063	1	88	16.613982758
2931	3	65	5.1496011113
1450	1	14	1.2215594449
2637	5	17	7.4890545505
2125	3	49	7.1075097747
1054	5	86	15.902792256
2795	3	60	9.469633722
2129	4	51	4.8385241331
2708	3	73	12.470762384
412	4	88	14.366860898
2159	4	82	13.565736313
4	5	46	7.6778280411
2973	4	47	15.610883719
505	4	12	4.5407021287
2563	4	65	11.004298347
2051	5	2	2.6838135521
368	1	56	6.901879523
358	2	76	10.056827349
1090	3	70	9.5322129039
2685	3	24	5.8128676356
810	4	89	6.2666041006
2962	5	4	10.764665977
2916	2	50	7.572892042
1775	3	29	5.2183120113
1251	4	97	20.43546238
2773	5	6	3.0718773504
1969	4	33	7.2838220088
2255	1	32	4.8619977948
2886	4	31	14.854599518
102	4	75	10.386945707
2032	3	52	11.087557729
2255	1	32	4.6709812112
164	3	47	8.3423840174
2577	3	80	18.217979752
1782	1	4	2.9189246026
2534	4	64	14.676719218
2178	3	23	7.281551443
2134	4	43	3.6318003807
1896	4	73	16.983789238
921	2	76	15.399036331
1199	3	53	9.9995745339
411	4	78	14.822457566
1038	5	76	14.998760307
303	1	82	7.0736909031
2228	4	49	11.338505591
599	3	67	8.4265149342
190	1	9	1.6491925153
2801	3	73	11.803819586
2814	1	54	3.6296932746
2277	2	88	14.305959989
1132	2	83	13.397005025
2592	3	62	10.152296985
1146	5	58	8.6324035294
441	4	15	8.7283027174
1050	3	76	12.092207914
2174	4	40	10.62207698
2213	4	74	14.909582345
2503	5	2	7.8944106877
631	2	24	4.2205763028
1351	3	27	3.5223076765
2292	5	99	15.778440945
1698	5	95	19.032294655
2032	3	52	8.253414409
1009	3	75	15.184111085
358	2	76	8.7042136826
1655	3	100	12.932364436
2508	3	13	6.4941037408
1733	4	53	10.608723157
2456	1	94	15.395764897
1867	3	38	5.1069360954
2912	2	77	6.5868640687
1208	2	40	6.6217279189
668	4	82	16.89447976
690	1	64	5.6250572753
2986	4	84	15.167204346
804	3	78	9.8547463788
2391	4	53	14.077334421
766	5	16	4.9326280188
628	2	23	12.161797192
1286	5	4	9.2108602179
471	3	52	15.062698736
12	5	65	8.9506332099
1124	1	81	12.176522604
2803	1	68	7.6856742671
2598	1	98	6.9110018447
2149	3	92	9.9438836729
2907	1	62	13.777191972
2097	1	98	9.9919723605
1362	2	70	9.1338354624
1991	4	98	8.7423895219
2780	1	84	7.4308976249
2051	5	2	8.0900330224
2636	4	51	9.5360934974
1841	1	41	6.2328266188
2212	3	54	1.1932642726
1731	3	4	7.8213195247
1086	3	26	3.8621364271
1069	3	60	8.8068691401
1261	3	57	16.848109022
1073	2	38	8.0073951386
2952	4	80	9.6953053149
1690	4	31	10.076858736
2538	4	55	11.022668793
997	4	51	6.8373222799
1006	2	78	8.6786060412
2778	5	81	15.035141369
477	2	94	13.422894642
186	4	36	10.678032391
1029	4	65	13.832181144
2314	5	44	11.716530459
2860	5	11	1.8897491123
2340	1	72	10.486431878
1008	2	82	10.630040962
472	5	27	9.5799636571
1310	1	97	12.130292156
2370	3	63	10.754401034
2716	2	46	10.420992252
233	1	16	0.6962492113
218	1	70	9.575345497
714	2	32	8.6325782536
402	5	100	12.756166324
707	4	98	20.438284865
2199	2	19	5.17795539
474	3	12	7.5812328918
2387	2	83	15.143615677
1318	5	87	17.229649846
1702	1	28	7.8452933149
594	5	37	9.4161388682
2944	3	99	13.711890662
1928	1	45	1.5066887765
2711	4	83	15.356831151
234	3	4	4.3916391771
2777	5	41	9.9243419134
428	4	52	9.7777926252
1556	4	36	5.8076146256
2079	4	26	7.5087176108
1682	4	51	7.1525209511
1101	2	4	0.945095541
777	3	19	-3.448326963
2964	2	6	3.1737599229
2324	3	79	14.515640792
2167	4	53	9.0218220327
1324	1	72	13.198831617
920	1	66	16.678448824
30	1	36	2.7707413383
1382	5	23	6.8729854558
2241	1	57	3.8464999058
1806	5	93	11.477220637
2163	4	93	10.741988565
2629	5	17	12.668678719
259	1	30	8.2646405291
645	4	11	-0.739293896
2769	5	26	11.23356553
825	4	64	8.0806550773
303	1	82	7.0704424269
1591	1	9	3.4054790923
1759	5	28	13.799346362
629	3	18	10.430515912
1695	3	14	3.2249367976
1475	1	100	8.3714171418
2046	4	33	5.2369032383
1906	3	36	4.7568095656
706	3	65	6.9711715406
28	4	72	17.660027381
4	5	46	5.698680136
1425	2	55	1.3716813866
1208	2	40	8.1534092507
202	5	31	6.0022228309
770	2	62	10.824570755
788	2	43	3.8137930639
2639	3	68	11.37358686
1475	1	100	10.776510887
2659	3	43	9.4669255284
701	5	78	12.636589476
2194	4	33	6.876429581
2402	2	31	4.2792783269
2087	3	26	12.465099979
827	1	35	7.7602621587
168	5	31	9.1477649313
2227	4	30	4.3754599474
2189	4	26	4.8205523956
1628	3	100	16.244005869
1965	1	77	7.5269373652
2111	5	84	14.53091025
857	3	91	7.7922639768
398	3	32	6.1626986541
2006	4	32	2.1752621106
600	1	39	5.2504867252
583	1	19	9.1338452407
2682	3	57	5.3671926707
245	1	13	1.9523681127
92	5	72	19.533985414
1924	3	65	17.09954328
2246	4	4	-3.136068328
2517	4	90	11.26735043
2798	3	36	12.595136381
1550	5	44	9.5240951192
1161	5	3	9.0549667608
1779	1	40	2.1182578288
426	5	21	7.5579289979
923	5	71	12.033295991
1517	2	98	15.138376356
2624	4	33	13.542599261
2724	1	34	4.6416145451
225	1	69	11.580771409
2321	4	13	7.2605422194
1697	2	20	-1.017034552
1405	5	13	2.4687128405
232	1	54	5.0791428477
600	1	39	7.4437211511
2403	5	5	3.1421283501
2965	4	84	14.867114485
2751	3	55	7.2514721596
868	5	81	9.7144183017
2233	5	43	14.314954627
510	2	96	14.272379064
527	1	19	4.5479162263
2466	4	44	9.7576271226
1303	1	21	3.624650626
1384	5	89	23.108700612
1612	4	53	3.7804378457
2164	3	56	12.790636652
182	4	34	9.8087374675
2729	4	43	8.0489854987
1324	1	72	6.1325708409
336	4	9	2.0237710154
11	1	56	10.219626849
573	4	60	1.2723587494
2337	2	64	11.68500146
2480	1	79	13.165194182
1469	4	33	7.9219213655
260	1	32	2.9110445794
993	4	77	14.736432589
2097	1	98	7.9954924162
2654	2	91	12.877320344
2393	3	17	1.4758236743
2074	5	52	18.607729404
1408	4	83	7.3821951481
1655	3	100	14.944539553
1763	3	90	14.975614194
2725	2	86	9.1424974409
500	5	63	10.790003125
1326	4	96	15.674635529
1921	3	32	13.99261223
1220	4	2	3.8055322158
1783	2	72	7.8590388615
314	3	92	12.310306705
142	2	13	9.8821792844
2789	4	21	8.9058183389
1419	5	89	12.73908637
166	2	81	11.081439099
845	4	49	9.6034729362
2129	4	51	4.2275481578
1979	4	76	10.333764667
1901	2	56	5.1052570116
432	5	42	-0.830529983
2185	2	64	15.834383865
1178	4	24	2.5369779541
1972	3	75	13.320798299
1858	5	94	18.257182188
1267	4	90	14.1246947
1403	5	85	20.917920686
1610	1	19	0.0966527337
1094	1	50	11.793428809
440	5	64	12.039550805
58	5	28	7.8623464358
1811	4	74	12.573533713
1854	5	57	14.103067053
1552	5	29	8.7288498186
2359	1	27	6.7676816088
551	3	30	6.2314322334
1450	1	14	4.037575687
264	3	48	7.906206178
372	5	80	14.20616575
1915	4	40	12.020861764
1862	2	99	8.0628495736
2755	2	37	2.6054280455
2787	5	18	7.9329551971
472	5	27	8.1804968745
12	5	65	11.607896252
369	1	69	9.108657663
1936	3	87	6.716615323
1629	5	54	16.510929135
1233	1	20	9.377719892
971	3	7	5.8381708622
1699	3	50	16.818230014
1025	4	78	9.4769692508
1403	5	85	16.436226623
1190	4	70	15.543459012
2385	4	80	12.589145857
2212	3	54	2.8753860556
1321	4	60	12.137884343
1563	1	47	5.7867420999
1463	2	11	1.172391131
184	2	27	4.5005451792
1484	3	91	13.587000707
1646	1	73	4.9395225665
405	5	11	10.499822139
2881	5	94	9.6018696846
1127	2	46	4.3367664883
1619	1	68	5.6985077029
2016	4	20	9.2832421999
1987	3	58	8.5041242087
2180	5	98	20.655969373
2074	5	52	17.313731031
1745	1	42	11.145216206
1520	5	22	10.732366686
867	1	46	8.1266834992
1872	3	99	18.179762537
356	4	32	6.7537176255
241	5	47	10.342690779
2760	5	82	16.031525001
1668	1	88	13.568178894
1382	5	23	12.802388986
314	3	92	7.6502837146
2812	4	73	10.063635514
452	2	75	7.0230360982
2096	4	70	12.059738874
2758	4	91	15.118624038
1498	3	43	3.7385444754
5	2	17	8.7280818473
1710	1	18	0.7271776931
2627	4	41	9.2576903124
157	5	69	13.311605159
1263	1	48	5.9609451707
2156	1	68	6.905080925
1889	1	81	11.721849526
1745	1	42	10.619994401
298	3	81	15.900588665
1021	2	42	10.731194696
912	3	35	8.128397586
904	5	66	12.418921908
2553	5	72	8.5812127819
447	2	98	14.030647181
1350	4	36	8.2248240914
1141	4	77	15.362812421
2582	3	91	15.044488665
1785	2	24	3.7267696509
2575	2	92	17.74643743
506	3	73	14.865787156
2372	3	96	12.943620067
2548	3	26	10.312741368
1704	1	61	10.954592334
1452	5	21	10.737339267
1971	4	9	15.732206396
1580	3	9	-0.637920722
40	1	100	12.126687059
1353	3	76	10.661177607
405	5	11	7.5734360835
994	4	37	8.6754576116
2334	5	9	4.2060894649
2607	1	98	16.37140079
1003	3	34	5.9332327052
2147	4	81	12.670792299
2057	3	95	18.510969698
2959	4	12	5.5962342311
1163	3	6	4.0291019594
2766	4	35	7.7136407539
2802	5	18	9.2189656623
2278	1	68	10.521001666
533	4	50	6.0630780868
1784	4	93	9.2983095721
1609	4	61	10.448334381
20	3	86	13.690039337
856	5	93	12.620335251
2351	1	2	2.3698807655
1111	4	93	17.332348334
2420	1	4	1.5624834944
2182	1	80	10.935515477
1240	4	94	18.051080212
194	2	76	12.671520418
2886	4	31	12.003365491
1179	5	89	11.910739869
135	2	81	17.150301693
459	4	100	10.949596397
390	2	28	-0.012365743
1723	3	19	15.081316282
1385	2	80	12.147583547
1277	2	94	10.99140806
2283	1	91	13.518264601
2072	3	31	9.9171709508
1618	3	30	6.8508958186
2809	3	100	13.6068668
394	4	13	9.3040751972
2845	3	98	11.396043151
1148	2	70	12.439563251
2472	3	99	16.573150842
422	3	64	9.5988728086
2353	3	7	4.5497136193
2289	1	75	3.8852578588
1112	3	25	6.1174231248
2432	5	41	8.802215026
2696	4	93	18.07368888
551	3	30	1.617336281
2650	5	17	4.4600234078
2713	1	40	6.7584137073
1303	1	21	1.6955753004
448	5	56	9.2262286627
420	3	75	13.879933184
922	4	23	2.9045305906
2957	1	35	3.0986202673
2140	5	87	19.458591155
2683	4	19	7.7163668279
2976	3	36	9.3881072448
1189	2	97	14.806267513
336	4	9	3.036751869
2517	4	90	14.656807933
1870	3	25	6.9366871704
2228	4	49	4.6858806844
783	1	87	8.4902688617
601	1	9	-1.502698165
1221	4	94	13.049543109
2138	3	87	13.862404251
2404	4	61	6.2610569112
543	3	18	5.2519824887
2713	1	40	4.7049070121
2994	5	16	7.6691684681
56	3	24	6.8636946226
118	3	25	9.4845350625
1305	2	36	0.2180842391
1157	3	54	2.4428389404
1083	5	8	7.0925635133
2123	3	35	8.7023294177
2146	2	32	6.4964739104
1750	1	99	11.097051239
2560	3	3	6.0446351316
101	2	12	9.882518871
1250	4	11	8.0206056183
2505	2	57	9.6390654706
1173	1	84	10.638391444
410	1	45	-1.107092265
2384	1	31	5.6202809487
979	4	98	17.181652689
1851	1	72	7.4085365039
382	2	8	0.8958830352
730	1	36	9.8188974329
2134	4	43	5.0124342053
2211	2	41	7.0638002865
554	5	24	11.220703015
884	5	87	9.0261371912
2008	2	25	5.7473335686
98	1	38	4.2603094209
2911	5	37	12.373630774
1673	4	98	21.524278652
2553	5	72	12.438768669
2304	5	14	7.7409758479
445	5	92	15.548498893
886	2	44	9.9122373178
914	3	23	6.7409805349
1313	2	77	11.816855033
1825	2	33	5.5997194836
1290	1	53	4.5102017203
1888	4	36	6.5035619913
631	2	24	4.7220954961
2659	3	43	12.487702301
2636	4	51	9.4864971431
2006	4	32	10.298238727
2384	1	31	5.1888147517
1998	5	89	16.80912062
219	5	83	20.634877303
1559	3	89	7.9502032486
1532	4	73	13.968442001
1172	5	46	10.815878101
1199	3	53	9.3409524084
1424	4	33	3.2126331174
1826	5	94	16.116645702
1583	3	19	6.7861151311
2838	1	86	13.701818828
2429	5	16	5.4267296571
357	4	57	13.300304229
2696	4	93	20.376820164
824	1	77	8.2720242147
994	4	37	11.287826831
460	4	92	15.215115499
1540	1	80	11.057599126
336	4	9	6.2432302326
1031	5	21	7.3774911383
860	5	69	11.728305195
2963	1	34	2.7667775032
1257	5	8	8.1208435707
904	5	66	11.502737838
994	4	37	11.493927676
26	5	46	7.8670686382
305	4	39	5.9425931726
1964	3	19	12.390730532
627	2	73	6.2770506695
1427	2	28	7.0499541988
2089	3	91	16.572989165
396	1	13	-3.121923627
1816	2	33	6.1322220747
233	1	16	-0.678080008
525	4	13	6.3163461093
1381	1	35	6.8171812366
2228	4	49	11.946998488
1569	1	17	6.1219468903
963	5	77	12.424947967
2613	5	35	11.1353319
689	5	56	10.631116131
390	2	28	5.7372738262
1141	4	77	13.539280159
1798	4	38	7.9595358071
1835	2	3	-3.733715567
1938	1	41	12.505849793
2253	4	3	3.6858366794
2575	2	92	13.590881454
1794	2	80	19.430231338
1349	1	45	12.227219384
1231	4	97	14.8557386
1347	5	95	15.432702284
1364	4	93	13.44841262
883	4	29	4.937226662
1776	1	27	6.425270904
1315	1	41	5.6646407095
33	4	32	4.2291700721
1741	4	52	14.675769871
2314	5	44	11.095619006
1170	5	88	13.580502094
2761	3	54	7.8722873699
692	4	11	-0.948179701
94	5	3	7.9133276833
2601	3	63	10.34649486
2817	4	74	11.144947219
1309	4	15	5.9730080727
1268	1	41	0.4404588319
979	4	98	15.230930567
2128	3	36	14.551888683
1467	4	94	12.014918584
2401	4	23	7.5715809718
2840	5	26	14.691122507
2540	5	27	3.8945804385
1851	1	72	7.3391944105
2663	5	19	14.147954842
24	5	5	2.4611155757
1216	3	9	-0.849192173
1644	4	22	14.939402765
260	1	32	6.3358073869
148	2	61	13.298486346
2170	4	9	4.2300756614
499	2	44	5.6672881759
500	5	63	13.862597742
1889	1	81	10.852154597
3	1	49	12.837029728
693	5	35	11.901305438
2024	3	77	13.223246589
1616	5	4	7.863354047
2175	2	35	12.185316299
2206	3	3	7.8096732968
2420	1	4	3.2252926889
2682	3	57	9.3416593516
1297	2	73	12.58168882
1680	5	87	24.441784373
2004	1	13	-0.271601206
1490	5	17	4.8663877814
1738	4	91	15.682838749
311	1	22	1.0238641222
1952	1	28	6.0932201438
958	4	27	11.035082442
1462	4	8	9.4755751712
1803	4	35	15.356064198
1185	2	89	12.63685107
2112	2	73	10.444938607
2420	1	4	0.1557387587
582	5	24	5.850186693
201	1	56	12.13605228
2960	4	74	12.529287415
1250	4	11	10.794708286
1535	4	55	15.916061135
1074	2	9	7.028060196
1967	4	9	5.8064584068
1019	1	70	2.8866694593
1591	1	9	3.5248752197
2359	1	27	10.451455302
136	3	85	12.958832876
1415	2	85	9.5343297881
1368	2	21	3.9965193041
627	2	73	8.2357397246
1248	5	56	1.3781182765
1739	1	64	12.002518731
775	3	82	13.219377846
605	5	94	17.266414138
1421	2	45	6.1713131469
642	3	72	9.1161828549
106	1	15	3.7917900689
287	1	53	4.098050206
1849	5	13	12.118951237
1992	3	58	8.2089601442
1271	2	94	12.790744125
251	3	25	8.1057682095
1697	2	20	-2.175772363
1781	5	58	11.405100089
1871	4	86	7.5593892087
1711	1	69	8.652599784
429	1	23	2.1169314915
2110	2	64	9.0276034126
817	3	86	8.8323337645
651	1	73	9.4551208295
2798	3	36	10.439933634
1635	4	56	11.339274918
2686	3	76	11.355967895
2948	3	96	12.434090943
1445	4	99	18.109439806
1177	2	65	12.662231595
2288	5	80	13.245450705
1762	1	17	-0.656970616
328	2	91	13.967779852
2800	1	66	-0.95611389
2088	3	14	7.6548620744
737	1	20	5.2666558832
2942	4	35	8.5474171104
840	1	13	2.5482277399
595	1	100	6.5119709185
655	3	37	13.339679542
926	2	20	-0.213788177
261	1	78	6.353871846
90	4	6	-1.288459831
1422	3	13	7.0488295296
535	3	81	13.454338164
733	2	3	-3.680541939
1598	5	95	15.391991966
2357	2	6	-0.069860167
2845	3	98	14.071560423
65	3	59	8.6784530313
2115	1	9	4.1963806093
2901	1	98	9.6351385319
1858	5	94	19.448579586
797	2	49	5.0540215357
2335	3	54	6.3772798399
357	4	57	5.411452215
513	1	54	6.2923422184
1616	5	4	7.7777165207
363	4	48	7.0712178791
564	4	36	7.529952593
1165	1	83	7.918870763
2356	2	46	5.0798124298
1569	1	17	8.4503369019
2209	3	36	9.125552336
503	2	58	4.2508073061
700	3	17	4.7467633082
1370	4	68	16.238132929
2524	5	58	9.2697190864
1133	4	80	10.373362087
11	1	56	3.1152315687
1419	5	89	11.669798989
705	2	43	3.8861012973
2824	4	68	16.027226688
1232	1	12	4.4613909704
1538	3	81	15.881631591
1467	4	94	13.006589144
219	5	83	21.244969326
1991	4	98	14.815398391
490	5	80	16.856004648
2491	1	32	4.2715732997
2885	2	23	5.1490973929
1303	1	21	2.1924708909
888	5	92	16.320981167
2738	5	79	19.673397846
1295	2	63	11.53071617
981	5	41	5.5394000141
2598	1	98	9.2812599732
86	4	94	12.243215424
1776	1	27	0.825685679
320	5	25	10.058398419
1551	4	89	16.685832916
1257	5	8	6.5717261375
940	3	89	13.68113871
249	2	61	5.6064925476
1987	3	58	8.8933605572
670	2	49	13.321991532
2774	3	4	1.6644398122
320	5	25	5.6245674301
1640	2	79	12.191323078
2952	4	80	15.285378482
1366	2	49	10.792281222
193	5	99	22.172934818
2858	3	79	5.0425551035
29	3	36	12.343305658
2326	3	80	11.72232789
2657	3	91	10.682882414
2902	5	39	9.3954163076
1725	2	43	3.5617816431
807	1	2	1.2091864989
2821	2	78	8.7387656548
1918	4	77	14.363615841
2540	5	27	9.7979536795
2900	4	82	13.341007298
355	5	50	14.236883099
2361	2	31	-0.15060841
572	2	54	8.2996544986
1824	5	71	12.18125148
2639	3	68	8.9972169139
771	5	60	17.524346822
102	4	75	10.805293269
2230	1	16	-0.916093958
1918	4	77	11.18022214
732	3	99	11.81556993
157	5	69	15.087746976
2433	2	30	14.022296609
2172	5	74	10.105745555
1276	5	58	8.3708118802
1683	2	11	1.7916325549
387	5	49	11.15548573
379	2	6	1.2030085639
2567	3	74	13.994030736
2149	3	92	13.708836655
663	1	35	12.365484278
2374	3	26	8.5368573267
1999	5	3	2.6048240008
1536	1	20	4.1626930471
160	1	63	8.360730561
1710	1	18	9.6879944944
1524	1	2	2.9202592841
781	3	20	6.9356581107
1402	3	89	12.770921955
1961	1	57	7.2632836938
1537	1	35	8.1238628647
2278	1	68	13.05783618
541	4	1	4.8064662214
344	4	8	1.5802030054
1864	1	33	2.0645608771
590	2	22	4.135714846
892	3	77	10.710680773
337	2	27	7.5598180506
1472	4	63	12.69885346
600	1	39	9.941671638
2934	5	48	6.9861768637
1096	4	83	11.038333629
2697	4	44	4.5318175091
2465	4	48	13.160129728
1771	2	49	8.8411746481
1052	3	48	8.8829316243
469	4	55	16.502605893
440	5	64	14.151344357
380	5	100	11.240750521
1356	1	47	5.2213138765
1720	5	94	17.825910964
2543	2	5	5.2280574663
2476	1	80	6.7692714458
2433	2	30	12.364765995
150	3	16	2.0749225265
1960	5	59	15.722789024
