Gender	Information	Product	Consumer	Age	Informedliking
1	2	2	42	54	7
1	1	3	42	54	7
1	2	3	42	54	8
1	1	4	42	54	8
1	2	4	42	54	9
1	1	1	43	44	8
1	2	1	43	44	7
1	1	2	43	44	5
1	2	2	43	44	2
1	1	3	43	44	7
1	2	3	43	44	8
1	1	4	43	44	6
1	2	4	43	44	5
2	1	1	44	56	4
2	2	1	44	56	8
2	1	2	44	56	3
2	2	2	44	56	5
2	1	3	44	56	4
2	2	3	44	56	4
2	1	4	44	56	2
2	2	4	44	56	2
2	1	1	45	32	9
2	2	1	45	32	9
2	1	2	45	32	3
2	2	2	45	32	6
2	1	3	45	32	2
2	2	3	45	32	2
2	1	4	45	32	6
2	2	4	45	32	4
1	1	1	46	62	7
1	2	1	46	62	3
1	1	2	46	62	9
1	2	2	46	62	8
1	1	3	46	62	3
1	2	3	46	62	8
1	1	4	46	62	1
1	2	4	46	62	1
2	1	1	47	62	1
2	2	1	47	62	1
2	1	2	47	62	9
2	2	2	47	62	1
2	1	3	47	62	7
2	2	3	47	62	5
2	1	4	47	62	1
2	2	4	47	62	1
2	1	1	48	41	7
2	2	1	48	41	7
2	1	2	48	41	1
2	2	2	48	41	1
2	1	3	48	41	5
2	2	3	48	41	6
2	1	4	48	41	6
2	2	4	48	41	6
1	1	1	49	67	3
1	2	1	49	67	3
1	1	2	49	67	6
1	2	2	49	67	8
1	1	3	49	67	6
1	2	3	49	67	8
1	1	4	49	67	7
1	2	4	49	67	8
2	1	1	50	42	3
2	2	1	50	42	2
2	1	2	50	42	7
2	2	2	50	42	8
2	1	3	50	42	9
2	2	3	50	42	9
2	1	4	50	42	6
2	2	4	50	42	7
2	1	1	51	48	5
2	2	1	51	48	7
2	1	2	51	48	7
2	2	2	51	48	9
2	1	3	51	48	9
2	2	3	51	48	9
2	1	4	51	48	9
2	2	4	51	48	9
2	1	1	52	39	9
2	2	1	52	39	9
2	1	2	52	39	5
2	2	2	52	39	5
2	1	3	52	39	6
2	2	3	52	39	7
2	1	4	52	39	3
2	2	4	52	39	4
1	1	1	53	55	5
1	2	1	53	55	5
1	1	2	53	55	9
1	2	2	53	55	7
1	1	3	53	55	5
1	2	3	53	55	5
1	1	4	53	55	8
1	2	4	53	55	7
2	1	1	54	61	3
2	2	1	54	61	3
2	1	2	54	61	7
2	2	2	54	61	8
2	1	3	54	61	7
2	2	3	54	61	8
2	1	4	54	61	8
2	2	4	54	61	8
1	1	1	55	61	6
1	2	1	55	61	3
1	1	2	55	61	2
1	2	2	55	61	7
1	1	3	55	61	8
1	2	3	55	61	6
1	1	4	55	61	3
1	2	4	55	61	8
2	1	1	56	46	6
2	2	1	56	46	7
2	1	2	56	46	6
2	2	2	56	46	7
2	1	3	56	46	3
2	2	3	56	46	4
2	1	4	56	46	2
2	2	4	56	46	2
1	1	1	57	64	5
1	2	1	57	64	5
1	1	2	57	64	6
1	2	2	57	64	7
1	1	3	57	64	6
1	2	3	57	64	9
1	1	4	57	64	7
1	2	4	57	64	8
1	1	1	58	64	6
1	2	1	58	64	5
1	1	2	58	64	8
1	2	2	58	64	9
1	1	3	58	64	7
1	2	3	58	64	9
1	1	4	58	64	8
1	2	4	58	64	8
1	1	1	59	32	5
1	2	1	59	32	6
1	1	2	59	32	7
1	2	2	59	32	9
1	1	3	59	32	9
1	2	3	59	32	8
1	1	4	59	32	7
1	2	4	59	32	6
1	1	1	60	45	6
1	2	1	60	45	5
1	1	2	60	45	5
1	2	2	60	45	4
1	1	3	60	45	6
1	2	3	60	45	4
1	1	4	60	45	6
1	2	4	60	45	3
1	1	1	61	30	8
1	2	1	61	30	7
1	1	2	61	30	4
1	2	2	61	30	4
1	1	3	61	30	5
1	2	3	61	30	5
1	1	4	61	30	7
1	2	4	61	30	6
2	1	1	62	58	5
2	2	1	62	58	5
2	1	2	62	58	8
2	2	2	62	58	9
2	1	3	62	58	9
2	2	3	62	58	8
2	1	4	62	58	9
2	2	4	62	58	8
2	1	1	63	42	6
2	2	1	63	42	5
2	1	2	63	42	8
2	2	2	63	42	7
2	1	3	63	42	5
2	2	3	63	42	7
2	1	4	63	42	6
2	2	4	63	42	5
2	1	1	64	44	6
2	2	1	64	44	3
2	1	2	64	44	8
2	2	2	64	44	7
2	1	3	64	44	6
2	2	3	64	44	7
2	1	4	64	44	6
2	2	4	64	44	5
1	1	1	65	48	8
1	2	1	65	48	8
1	1	2	65	48	3
1	2	2	65	48	4
1	1	3	65	48	4
1	2	3	65	48	3
1	1	4	65	48	3
1	2	4	65	48	3
2	1	1	66	70	5
2	2	1	66	70	7
2	1	2	66	70	7
2	2	2	66	70	3
2	1	3	66	70	1
2	2	3	66	70	6
2	1	4	66	70	8
2	2	4	66	70	4
1	1	1	67	64	6
1	2	1	67	64	6
1	1	2	67	64	8
1	2	2	67	64	7
1	1	3	67	64	8
1	2	3	67	64	7
1	1	4	67	64	6
1	2	4	67	64	7
2	1	1	68	60	9
2	2	1	68	60	6
2	1	2	68	60	2
2	2	2	68	60	3
2	1	3	68	60	1
2	2	3	68	60	1
2	1	4	68	60	8
2	2	4	68	60	3
2	1	1	69	36	4
2	2	1	69	36	5
2	1	2	69	36	7
2	2	2	69	36	7
2	1	3	69	36	6
2	2	3	69	36	8
2	1	4	69	36	7
2	2	4	69	36	7
2	1	1	70	36	6
2	2	1	70	36	7
2	1	2	70	36	2
2	2	2	70	36	4
2	1	3	70	36	3
2	2	3	70	36	2
2	1	4	70	36	6
2	2	4	70	36	8
1	1	1	71	34	7
1	2	1	71	34	3
1	1	2	71	34	7
1	2	2	71	34	8
1	1	3	71	34	9
1	2	3	71	34	9
1	1	4	71	34	5
1	2	4	71	34	5
2	1	1	73	43	1
2	2	1	73	43	3
2	1	2	73	43	9
2	2	2	73	43	9
2	1	3	73	43	9
2	2	3	73	43	9
2	1	4	73	43	6
2	2	4	73	43	6
2	1	1	74	44	6
2	2	1	74	44	7
2	1	2	74	44	5
2	2	2	74	44	7
2	1	3	74	44	9
2	2	3	74	44	9
2	1	4	74	44	9
2	2	4	74	44	9
1	1	1	75	50	4
1	2	1	75	50	5
1	1	2	75	50	9
1	2	2	75	50	9
1	1	3	75	50	3
1	2	3	75	50	3
1	1	4	75	50	8
1	2	4	75	50	8
2	1	1	76	38	2
2	2	1	76	38	7
2	1	2	76	38	7
2	2	2	76	38	9
2	1	3	76	38	3
2	2	3	76	38	9
2	1	4	76	38	9
2	2	4	76	38	9
2	1	1	77	42	1
2	2	1	77	42	4
2	1	2	77	42	7
2	2	2	77	42	9
2	1	3	77	42	7
2	2	3	77	42	7
2	1	4	77	42	9
2	2	4	77	42	9
1	1	1	78	38	6
1	2	1	78	38	4
1	1	2	78	38	4
1	2	2	78	38	7
1	1	3	78	38	9
1	2	3	78	38	9
1	1	4	78	38	8
1	2	4	78	38	8
2	1	1	79	38	7
2	2	1	79	38	8
2	1	2	79	38	7
2	2	2	79	38	7
2	1	3	79	38	4
2	2	3	79	38	4
2	1	4	79	38	6
2	2	4	79	38	6
2	1	1	80	37	7
2	2	1	80	37	8
2	1	2	80	37	8
2	2	2	80	37	5
2	1	3	80	37	4
2	2	3	80	37	1
2	1	4	80	37	3
2	2	4	80	37	4
1	1	1	81	52	6
1	2	1	81	52	6
1	1	2	81	52	3
1	2	2	81	52	3
1	1	3	81	52	3
1	2	3	81	52	4
1	1	4	81	52	3
1	2	4	81	52	6
2	1	1	82	47	9
2	2	1	82	47	5
2	1	2	82	47	9
2	2	2	82	47	8
2	1	3	82	47	9
2	2	3	82	47	7
2	1	4	82	47	6
2	2	4	82	47	6
1	1	1	83	48	1
1	2	1	83	48	6
1	1	2	83	48	3
1	2	2	83	48	8
1	1	3	83	48	4
1	2	3	83	48	6
1	1	4	83	48	7
1	2	4	83	48	5
1	1	1	84	43	6
1	2	1	84	43	5
1	1	2	84	43	6
1	2	2	84	43	6
1	1	3	84	43	4
1	2	3	84	43	8
1	1	4	84	43	5
1	2	4	84	43	4
