MArray	Dye	Trt	Pin	Dip	Gene	log2i
1	1	0	3	3	63	5.3337858463
1	1	0	1	1	66	3.4642571786
1	1	0	1	2	159	3.6284266812
1	1	0	3	2	174	5.6462027257
1	1	0	1	1	302	3.6711769379
1	1	0	1	3	348	3.7537303866
1	1	0	2	3	226	4.6996008007
1	1	0	3	3	138	5.3801464674
1	1	0	4	3	423	7.256579081
1	1	0	1	4	242	3.5540261686
1	1	0	4	3	400	7.1363415447
1	1	0	2	2	213	4.6718441578
1	1	0	1	3	15	3.1788419023
1	1	0	4	4	397	7.4002108514
1	1	0	4	2	415	7.3563910891
1	1	0	4	3	212	6.743210768
1	1	0	4	2	393	7.2966834699
1	1	0	3	2	184	5.4934355524
1	1	0	3	3	315	5.6885053944
1	1	0	4	3	157	6.9373290103
1	1	0	3	4	99	5.2280736738
1	1	0	4	3	114	6.6589691064
1	1	0	4	2	397	7.2247005438
1	1	0	2	4	225	4.6846352896
1	1	0	4	2	432	7.408196187
1	1	0	4	2	342	7.4398476188
1	1	0	2	3	2	4.2037107992
1	1	0	4	3	310	6.9487584589
1	1	0	2	3	403	4.7918764269
1	1	0	2	2	140	4.4553327843
1	1	0	2	1	189	4.4832754532
1	1	0	1	2	6	3.2521546335
1	1	0	3	1	300	5.6503087149
1	1	0	4	4	271	7.0828904632
1	1	0	3	4	11	5.1158637433
1	1	0	1	4	115	3.4859653782
1	1	0	1	1	248	3.7080227332
1	1	0	3	2	214	5.5047978918
1	1	0	3	2	243	5.6421291522
1	1	0	1	2	434	3.8310914076
1	1	0	2	2	485	5.0172292711
1	1	0	3	2	328	5.6930121781
1	1	0	4	2	153	6.5163447363
1	1	0	3	4	43	4.8627837322
1	1	0	3	2	217	5.4934293779
1	1	0	4	3	462	7.4873972365
1	1	0	2	3	3	4.3307074532
1	1	0	3	2	490	6.4080467781
1	1	0	2	2	303	4.8762884892
1	1	0	3	1	318	5.88878688
1	1	0	3	1	339	5.7782077477
1	1	0	1	1	267	3.7081848389
1	1	0	4	3	107	6.8414781514
1	1	0	3	4	486	5.9766936397
1	1	0	1	4	462	4.1857022189
1	1	0	2	3	11	4.303538045
1	1	0	4	3	17	6.6068323659
1	1	0	3	3	282	5.7085065727
1	1	0	3	2	15	5.0762577739
1	1	0	1	2	260	3.7512893531
1	1	0	1	3	183	3.7052962712
1	1	0	2	1	200	4.7217656337
1	1	0	2	2	500	5.0023729985
1	1	0	4	3	397	7.0766216678
1	1	0	4	4	332	7.0921563037
1	1	0	1	1	305	3.7872375
1	1	0	2	3	316	4.8535346747
1	1	0	3	3	356	6.0013057583
1	1	0	3	1	117	5.2751756331
1	1	0	4	3	471	7.807999717
1	1	0	4	2	256	6.8360167417
1	1	0	3	3	71	5.415698625
1	1	0	1	2	103	3.4843301089
1	1	0	4	4	52	6.4508172692
1	1	0	2	1	79	4.4124494669
1	1	0	4	2	486	7.3304330375
1	1	0	4	3	168	6.6759946704
1	1	0	4	3	311	6.9755271034
1	1	0	4	1	198	7.2418133655
1	1	0	4	1	337	7.3511632088
1	1	0	1	3	141	3.5106266545
1	1	0	4	3	130	6.7868105345
1	1	0	1	3	253	3.9089450998
1	1	0	4	1	484	7.50010695
1	1	0	1	4	126	3.4360033684
1	1	0	3	2	278	5.604400558
1	1	0	4	1	424	7.4521015972
1	1	0	4	4	122	6.6800289701
1	1	0	2	2	177	4.7155239912
1	1	0	4	3	73	6.6874050595
1	1	0	4	1	407	7.4734608907
1	1	0	1	1	484	4.0967623912
1	1	0	2	3	475	5.4020267689
1	1	0	2	1	413	4.8032910242
1	1	0	2	1	483	5.0502805733
1	1	0	4	4	6	6.2729486388
1	1	0	2	1	254	4.8988246185
1	1	0	3	4	414	5.6811023271
1	1	0	4	3	260	6.7889738396
1	1	0	2	4	349	4.4571694449
1	1	0	4	4	197	6.9531561365
1	1	0	3	3	322	5.6893395012
1	1	0	4	3	9	6.6948112432
1	1	0	4	1	224	6.6656126429
1	1	0	3	4	473	6.312566571
1	1	0	1	3	309	3.845871505
1	1	0	3	2	200	5.9192530447
1	1	0	2	1	232	4.5317432497
1	1	0	4	3	330	7.2862252109
1	1	0	1	4	82	3.3592852524
1	1	0	4	4	141	6.9675791727
1	1	0	2	4	424	5.1146100475
1	1	0	2	2	112	4.1031642298
1	1	0	4	2	197	6.6491711195
1	1	0	2	4	58	4.2532848011
1	1	0	3	4	216	5.2703144954
1	1	0	4	1	183	6.702350494
1	1	0	3	2	464	6.2568388826
1	1	0	2	1	208	4.6771438877
1	1	0	2	3	65	4.3019771698
1	1	0	1	3	140	3.3550749513
1	1	0	2	2	458	5.2307346776
1	1	0	2	4	347	4.9512065068
1	1	0	3	1	273	5.8033112402
1	1	0	4	2	456	7.6020059359
1	1	0	2	3	423	4.7601087248
1	1	0	4	4	18	6.6890624764
1	1	0	1	4	304	3.8046002127
1	1	0	2	4	38	4.1592561988
1	1	0	1	2	490	4.3604223881
1	1	0	1	1	226	3.4939175905
1	1	0	4	4	183	6.8144806762
1	1	0	4	1	367	7.1727172148
1	1	0	3	4	169	5.6303463041
1	1	0	3	4	329	5.7912969851
1	1	0	1	4	191	3.4851493178
1	1	0	2	4	165	4.6848943131
1	1	0	2	3	22	4.0902439789
1	1	0	3	4	213	5.6196806322
1	1	0	4	4	342	7.2793107163
1	1	0	4	2	161	6.6675035136
1	1	0	1	4	18	2.9648215473
1	1	0	2	2	399	5.082032218
1	1	0	3	1	314	5.7543052038
1	1	0	1	3	372	3.9848567885
1	1	0	3	4	404	5.9624182266
1	1	0	4	2	109	6.603047969
1	1	0	1	1	56	3.2941617779
1	1	0	4	4	44	6.8026295463
1	1	0	2	2	230	4.5816067446
1	1	0	3	1	262	5.5700187775
1	1	0	2	4	405	4.7582630356
1	1	0	2	3	192	4.5891831852
1	1	0	1	3	255	3.9013291256
1	1	0	2	2	421	4.8607718717
1	1	0	2	3	475	5.0139723701
1	1	0	3	2	415	5.9442910001
1	1	0	3	3	451	6.0253518554
1	1	0	1	2	472	4.1403283703
1	1	0	4	1	412	7.2746589685
1	1	0	2	2	33	4.0864946134
1	1	0	2	2	249	4.7641760763
1	1	0	1	2	154	3.3744035727
1	1	0	1	1	104	3.4287436385
1	1	0	2	3	129	4.2855980758
1	1	0	1	3	15	3.0608975806
1	1	0	2	1	300	4.544350088
1	1	0	2	3	396	4.917087144
1	1	0	4	4	52	6.5432405318
1	1	0	2	2	345	4.8843857693
1	1	0	4	1	271	7.1043879409
1	1	0	1	2	180	3.4038528879
1	1	0	3	2	81	5.3813385991
1	1	0	2	4	311	4.6790051765
1	1	0	3	3	244	5.8596383608
1	1	0	4	2	135	6.4365778101
1	1	0	2	4	49	4.3368288772
1	1	0	4	3	59	6.8816888046
1	1	0	4	2	354	7.2312763566
1	1	0	1	3	260	3.9887552587
1	1	0	4	4	398	7.345245931
1	1	0	1	3	182	3.4577433015
1	1	0	3	2	493	6.2178819911
1	1	0	2	4	41	4.0718003527
1	1	0	1	2	500	4.2998227628
1	1	0	4	1	303	6.9379284222
1	1	0	3	4	18	5.3040161581
1	1	0	3	4	492	6.0820464237
1	1	0	4	2	30	6.4529546856
1	1	0	4	1	137	6.8584367848
1	1	0	4	3	173	6.7075757639
1	1	0	3	2	6	5.1201556754
1	1	0	4	4	206	6.9039498179
1	1	0	2	3	494	4.9530168116
1	1	0	1	4	344	3.8475750669
1	1	0	2	2	389	4.9146448032
1	1	0	1	4	359	4.1406677486
1	1	0	3	4	128	5.5287714745
1	1	0	4	3	74	6.6531329078
1	1	0	3	2	153	5.4449051782
1	1	0	4	3	55	6.5514188647
1	1	0	3	3	105	5.2810938248
1	1	0	1	1	92	3.5174845173
1	1	0	1	3	200	3.8109362299
1	1	0	3	4	278	5.8279537459
1	1	0	3	4	344	5.8908150725
1	1	0	1	2	466	4.1572019394
1	1	0	2	2	369	4.7863380118
1	1	0	3	3	231	5.5765612899
1	1	0	2	4	296	4.6595730423
1	1	0	4	2	208	6.791205177
1	1	0	3	3	190	5.7887898637
1	1	0	1	2	375	4.0598165256
1	1	0	1	3	222	3.7240385124
1	1	0	4	3	499	7.451479678
1	1	0	4	4	241	7.0130494849
1	1	0	2	2	3	4.0043582349
1	1	0	1	2	269	3.8884003032
1	1	0	3	3	468	6.0936112751
1	1	0	4	4	429	7.3884222255
1	1	0	2	4	200	4.5076353486
1	1	0	3	1	387	5.7585179445
1	1	0	1	4	456	4.1542537252
1	1	0	1	2	316	4.0412635271
1	1	0	3	3	408	6.0853182849
1	1	0	2	4	221	4.6162847291
1	1	0	1	2	287	3.7790267158
1	1	0	3	2	391	5.7475791352
1	1	0	1	3	8	3.1214510834
1	1	0	1	3	10	3.1851779728
1	1	0	4	3	87	6.6992459281
1	1	0	1	3	455	4.4458495564
1	1	0	2	3	475	5.0709438516
1	1	0	3	3	137	5.5643350819
1	1	0	3	1	313	5.7970289352
1	1	0	2	4	201	4.5376119774
1	1	0	1	1	220	3.6127084744
1	1	0	4	2	31	6.7765293259
1	1	0	4	4	498	7.4803408156
1	1	0	3	4	268	5.9089073371
1	1	0	1	2	228	3.5201299684
1	1	0	1	1	413	3.8773261703
1	1	0	1	1	204	3.6894913743
1	1	0	2	1	298	4.5709493017
1	1	0	4	4	292	7.1018141557
1	1	0	1	3	447	3.8471495436
1	1	0	3	2	325	5.9224303333
1	1	0	3	3	490	6.2961467751
1	1	0	1	3	211	3.6182597351
1	1	0	2	3	128	4.4462987696
1	1	0	1	2	91	3.2894251166
1	1	0	3	2	235	5.7904438382
1	1	0	4	3	378	7.3312098424
1	1	0	1	3	216	3.6162795371
1	1	0	1	4	258	3.8385386799
1	1	0	3	2	393	6.0068558584
1	1	0	4	4	330	7.3237952943
1	1	0	1	1	349	3.7063031281
1	1	0	2	3	127	4.5647523813
1	1	0	4	1	157	6.5883183993
1	1	0	2	3	6	4.1317411964
1	1	0	3	1	181	5.587452967
1	1	0	2	3	151	4.3797123392
1	1	0	3	1	266	5.4917138769
1	1	0	2	2	486	5.1838688626
1	1	0	1	3	208	3.6114687974
1	1	0	3	2	336	5.6600909997
1	1	0	2	4	496	5.1117674581
1	1	0	2	3	144	4.3426932205
1	1	0	4	2	479	7.3471460215
1	1	0	2	2	441	5.0450612946
1	1	0	4	4	3	6.3771585553
1	1	0	1	3	363	3.7573763321
1	1	0	4	2	165	6.8846865613
1	1	0	1	4	377	4.1873576762
1	1	0	4	1	146	6.7809917684
1	1	0	1	3	358	4.1415858762
1	1	0	2	1	360	4.9302802287
1	1	0	2	4	63	4.223437557
1	1	0	4	1	395	7.1310724886
1	1	0	2	2	428	5.167130123
1	1	0	4	1	415	7.5671493964
1	1	0	1	2	230	3.5965800966
1	1	0	1	3	373	4.1036544516
1	1	0	1	2	322	3.9204985301
1	1	0	3	4	486	6.2038985943
1	1	0	1	2	39	3.069280414
1	1	0	3	2	43	5.0829186243
1	1	0	4	4	261	7.0591690046
1	1	0	3	1	131	5.5693154431
1	1	0	3	2	186	5.5655518657
1	1	0	3	3	219	5.4399749605
1	1	0	3	2	249	5.4785503088
1	1	0	3	2	205	5.5270855228
1	1	0	1	3	184	3.6478420024
1	1	0	4	3	455	7.4293790999
1	1	0	3	2	461	6.1451083573
1	1	0	1	3	272	3.809654292
1	1	0	1	3	186	3.6130525997
1	1	0	1	4	262	3.6442944389
1	1	0	4	4	134	6.7865090307
1	1	0	4	4	117	6.7016141492
1	1	0	4	2	313	6.9052803733
1	1	0	2	2	128	4.4142861393
1	1	0	4	2	26	6.4163553502
1	1	0	2	2	187	4.7760897659
1	1	0	4	1	441	7.4207263122
1	1	0	1	3	135	3.6747726949
1	1	0	2	4	431	4.9777310947
1	1	0	2	3	124	4.4313353447
1	1	0	3	3	359	5.9106822516
1	1	0	3	4	308	5.7198056486
1	1	0	3	3	214	5.6938493843
1	1	0	3	1	213	5.4957247778
1	1	0	2	4	46	4.3239826052
1	1	0	3	3	340	5.5842742051
1	1	0	4	2	43	6.3955736482
1	1	0	1	3	62	3.2115557815
1	1	0	2	4	197	4.4996446474
1	1	0	3	3	226	5.6460793956
1	1	0	1	1	131	3.3482171137
1	1	0	1	4	205	3.6160082173
1	1	0	2	3	315	4.9664616783
1	1	0	1	2	270	3.7416321129
1	1	0	3	4	82	5.3435313218
1	1	0	2	2	178	4.4729415438
1	1	0	4	1	278	6.8025815992
1	1	0	2	4	402	5.0846085133
1	1	0	2	3	25	4.2581460423
1	1	0	1	4	459	4.0886240981
1	1	0	2	2	286	4.6677822465
1	1	0	1	2	151	3.5975716436
1	1	0	1	2	455	4.0460853556
1	1	0	4	1	355	7.2626665503
1	1	0	2	4	42	4.2099618139
1	1	0	4	4	136	6.91124303
1	1	0	2	3	294	4.5502339877
1	1	0	2	3	67	4.1322554251
1	1	0	3	3	57	5.3048136564
1	1	0	2	1	486	5.0291669319
1	1	0	1	2	17	3.3757244868
1	1	0	4	2	162	6.9381808298
1	1	0	4	4	469	7.417432519
1	1	0	2	2	362	5.2079305192
1	1	0	4	1	324	7.1076781517
1	1	0	1	1	324	4.0135135497
1	1	0	2	3	273	4.9132308398
1	1	0	4	2	112	6.724611069
1	1	0	1	1	243	3.8548570561
1	1	0	4	3	4	6.596280479
1	1	0	3	1	470	6.1524418216
1	1	0	3	1	469	5.8385893818
1	1	0	1	1	230	3.7639138057
1	1	0	1	4	343	3.6958166027
1	1	0	4	4	311	7.1361430042
1	1	0	2	2	29	4.3666516627
1	1	0	3	3	369	5.9459514572
1	1	0	1	4	479	4.2908790906
1	1	0	2	2	355	4.5811439781
1	1	0	3	1	434	5.9855981942
1	1	0	3	2	286	5.7548468056
1	1	0	4	3	51	6.5044320148
1	1	0	4	4	57	6.505211924
1	1	0	2	2	263	4.7482402163
1	1	0	2	1	243	4.4802678701
1	1	0	1	1	220	3.7910079656
1	1	0	2	4	145	4.2799644081
1	1	0	3	3	451	6.2166023243
1	1	0	2	1	116	4.3859032655
1	1	0	2	3	43	4.2096762804
1	1	0	1	3	320	3.8732401005
1	1	0	2	4	82	4.3645526273
1	1	0	4	4	217	6.8812375491
1	1	0	2	3	64	4.2452856781
1	1	0	3	2	15	5.1303907181
1	1	0	3	1	315	5.9169604184
1	1	0	2	4	444	4.7731418992
1	1	0	4	1	359	7.0359064527
1	1	0	2	1	342	4.7931739484
1	1	0	3	1	133	5.3276940424
1	1	0	1	2	294	3.7620067777
1	1	0	2	2	278	4.8490707782
1	1	0	1	1	21	3.5473333659
1	1	0	1	3	464	4.0538772869
1	1	0	1	2	62	3.3360665773
1	1	0	3	3	299	5.5718598342
1	1	0	2	2	444	5.0162077826
1	1	0	4	1	350	7.0479879531
1	1	0	1	2	202	3.612566721
1	1	0	1	3	425	4.078917296
1	1	0	4	1	413	7.1815105556
1	1	0	2	2	71	4.2778908237
1	1	0	2	1	172	4.36895569
1	1	0	1	2	321	4.1745053844
1	1	0	3	3	297	5.691000825
1	1	0	3	1	149	5.2578179163
1	1	0	4	2	268	7.3317335718
1	1	0	4	3	84	6.4966018745
1	1	0	1	4	175	3.6292768969
1	1	0	4	2	113	6.7320746443
1	1	0	2	1	356	4.7914372543
1	1	0	2	2	112	4.6150542624
1	1	0	2	4	419	4.908771307
1	1	0	2	2	247	4.4648779328
1	1	0	4	3	302	6.932404561
1	1	0	2	3	278	4.8899216618
1	1	0	4	3	399	7.1441178157
1	1	0	1	4	377	4.0158861847
1	1	0	1	2	152	3.5627382758
1	1	0	2	1	81	4.1434075716
1	1	0	3	1	421	5.9614530596
1	1	0	2	2	63	4.2696705024
1	1	0	3	4	389	5.8620112165
1	1	0	3	1	312	5.8749675333
1	1	0	2	2	397	4.8821748726
1	1	0	1	2	234	3.7436189956
1	1	0	2	1	493	5.1439853718
1	1	0	3	4	356	5.9622232522
1	1	0	1	3	151	3.718878372
1	1	0	2	2	301	4.6301551708
1	1	0	2	3	333	4.6693988145
1	1	0	3	1	283	5.7541656832
1	1	0	2	3	69	4.4400962263
1	1	0	1	1	229	3.6557612329
1	1	0	4	4	67	6.4892056065
1	1	0	3	2	408	6.2217341121
1	1	0	4	4	487	7.4890075906
1	1	0	2	2	416	4.872922381
1	1	0	2	3	65	4.2668157528
1	1	0	1	1	281	3.9142908144
1	1	0	3	2	309	5.8224185244
1	1	0	2	1	466	4.8048301931
1	1	0	1	1	357	4.1353281984
1	1	0	1	2	368	3.8796517917
1	1	0	2	4	459	5.1017128888
1	1	0	2	3	29	4.3060041071
1	1	0	2	3	53	4.1652261594
1	1	0	4	4	387	7.273643515
1	1	0	4	1	177	6.6980211019
1	1	0	1	2	39	3.6631340851
1	1	0	2	1	33	4.1699755039
1	1	0	2	3	82	4.4235009785
1	1	0	4	2	441	7.2250899578
1	1	0	3	2	338	5.7582368472
1	1	0	3	4	212	5.5813153323
1	1	0	2	2	60	4.4452111643
1	1	0	3	2	469	5.8644113744
1	1	0	1	1	90	3.3536013813
1	1	0	1	1	205	3.4896832568
1	1	0	1	2	292	3.5929116421
1	1	0	1	2	161	3.4512444244
1	1	0	2	4	208	4.4770138283
1	1	0	2	1	199	4.6094270416
1	1	0	1	3	15	3.1709974023
1	1	0	4	1	177	6.7200399146
1	1	0	3	4	64	5.4059706611
1	1	0	3	1	76	5.1761057128
1	1	0	2	1	342	4.6840361421
1	1	0	4	1	3	6.5295420449
1	1	0	4	2	178	6.7800190386
1	1	0	2	2	59	4.4731301048
1	1	0	2	2	383	4.8200028636
1	1	0	2	3	437	4.8125689537
1	1	0	1	2	2	3.2573779255
1	1	0	2	4	59	4.151172043
1	1	0	1	2	176	3.4663030764
1	1	0	3	4	487	5.9640388007
1	1	0	3	4	391	5.8159395635
1	1	0	4	2	296	7.0568209487
1	1	0	1	2	234	3.506542144
1	1	0	1	1	427	4.370634648
1	1	0	2	4	418	4.6843246547
1	1	0	3	2	124	5.4520428449
1	1	0	1	2	18	3.1101944423
1	1	0	1	2	492	4.1061599775
1	1	0	1	3	147	3.4429152088
1	1	0	4	3	294	6.7549071265
1	1	0	2	1	85	4.4010517214
1	1	0	4	4	353	7.6484511126
1	1	0	2	4	436	5.1133636455
1	1	0	4	4	418	7.181968439
1	1	0	2	2	331	5.0728213822
1	1	0	3	2	385	5.9451857917
1	1	0	2	2	270	4.5768828546
1	1	0	2	4	151	4.5066161474
1	1	0	2	1	318	4.8960800961
1	1	0	4	4	258	6.9359284122
1	1	0	4	1	263	6.9284381822
1	1	0	1	1	238	3.6804989809
1	1	0	1	3	140	3.5431996726
1	1	0	3	3	250	5.4458511681
1	1	0	1	2	364	4.1048247906
1	1	0	2	1	151	4.3368768053
1	1	0	3	2	237	5.3853694953
1	1	0	1	2	17	3.3273891595
1	1	0	1	4	301	4.047609098
1	1	0	3	2	176	5.7110459179
1	1	0	2	1	64	4.4093529252
1	1	0	3	1	467	6.1433481998
1	1	0	4	2	436	7.393777163
1	1	0	2	4	283	4.5785121348
1	1	0	3	3	338	6.0373205379
1	1	0	3	1	37	5.3550721044
1	1	0	3	4	476	6.1411550403
1	1	0	1	4	305	4.1028983659
1	1	0	3	1	27	5.0860924595
1	1	0	3	2	480	6.0941706277
1	1	0	1	4	345	3.8982031558
1	1	0	3	4	8	5.137497476
1	1	0	1	2	247	3.9381001873
1	1	0	2	2	450	5.0751399297
1	1	0	1	1	36	3.1609268024
1	1	0	3	3	273	5.6868992108
1	1	0	4	4	413	7.3237208585
1	1	0	3	1	161	5.2859727337
1	1	0	1	4	153	3.4736690777
1	1	0	3	1	117	5.4536564966
1	1	0	3	4	139	5.3917459329
1	1	0	1	1	367	3.8829406785
1	1	0	3	4	140	5.6815040926
1	1	0	2	1	212	4.7244831764
1	1	0	3	1	446	5.9033255198
1	1	0	2	1	411	5.109841063
1	1	0	3	3	459	6.2838843849
1	1	0	4	2	411	7.443436536
1	1	0	3	3	80	5.2359340781
1	1	0	1	4	200	3.5613997966
1	1	0	3	3	277	5.5966039318
1	1	0	4	3	54	6.4017324938
1	1	0	1	3	7	3.0260307546
1	1	0	3	4	223	5.4417264433
1	1	0	4	4	492	7.2474015439
1	1	0	2	3	90	4.2234581388
1	1	0	3	1	162	5.4091843959
1	1	0	2	2	220	4.4261999842
1	1	0	3	4	457	6.0059062785
1	1	0	2	2	145	4.7146462774
1	1	0	4	2	494	7.2721153218
1	1	0	4	4	60	6.6204524321
1	1	0	4	3	281	7.0060867705
1	1	0	1	2	314	3.6490370439
1	1	0	1	1	233	3.8021554946
1	1	0	2	4	335	4.5562048026
1	1	0	2	1	460	5.195138614
1	1	0	4	3	55	6.5014325268
1	1	0	1	1	415	4.1749752239
1	1	0	3	1	44	5.5367188254
1	1	0	2	2	87	4.4343566669
1	1	0	4	1	313	7.2413895886
1	1	0	3	2	28	5.0593724736
1	1	0	1	2	317	3.8726356228
1	1	0	1	1	427	3.9678593019
1	1	0	4	1	123	6.4647535419
1	1	0	1	1	25	3.3126465764
1	1	0	3	4	402	6.0003470834
1	1	0	2	4	274	4.6983783952
1	1	0	4	3	226	7.1320015278
1	1	0	3	4	441	5.8730593761
1	1	0	1	3	228	3.5011868687
1	1	0	4	3	135	6.800973445
1	1	0	4	1	293	7.1246107641
1	1	0	1	4	291	3.6965087973
1	1	0	4	1	242	6.7590905403
1	1	0	3	4	142	5.4965436083
1	1	0	4	1	357	7.0706434253
1	1	0	3	4	486	6.1312355315
1	1	0	4	4	136	6.7220604516
1	1	0	2	4	310	4.6090787862
1	1	0	1	3	107	3.6324822963
1	1	0	4	2	99	6.7654821324
1	1	0	4	3	136	6.701852788
1	1	0	4	2	495	7.3353096347
1	1	0	3	3	257	5.6381749823
1	1	0	4	3	416	7.3253503224
1	1	0	4	4	62	6.4613936217
1	1	0	3	4	217	5.5634611839
1	1	0	4	1	137	6.5835274258
1	1	0	1	1	88	3.237532603
1	1	0	4	4	181	6.9333263632
1	1	0	1	3	441	4.4129355665
1	1	0	4	4	295	7.0940364718
1	1	0	3	1	252	5.5776528445
1	1	0	1	3	104	3.5001092952
1	1	0	3	4	398	5.8261424561
1	1	0	4	4	441	7.5029396494
1	1	0	4	4	425	7.4526946212
1	1	0	4	3	195	6.8391749272
1	1	0	2	2	187	4.6267536514
1	1	0	2	4	241	4.3922882818
1	1	0	1	1	296	4.0142950221
1	1	0	3	3	184	5.2750353154
1	1	0	2	1	149	4.3457464097
1	1	0	2	3	167	4.4615366822
1	1	0	2	1	231	4.6871769452
1	1	0	1	4	18	3.1613011707
1	1	0	1	2	219	3.8042151436
1	1	0	2	4	260	4.7479443698
1	1	0	3	4	196	5.6969603254
1	1	0	3	1	243	5.5891572454
1	1	0	4	4	150	6.8762615929
1	1	0	1	4	315	3.9596691097
1	1	0	3	2	324	5.5915567576
1	1	0	2	4	76	4.3826161753
1	1	0	4	4	59	6.7176568154
1	1	0	3	3	331	5.9499322508
1	1	0	3	2	146	5.3136194492
1	1	0	2	3	381	4.8713673207
1	1	0	2	3	98	4.3643482184
1	1	0	3	3	380	6.174422506
1	1	0	2	4	237	4.8517436992
1	1	0	3	4	185	5.2647501746
1	1	0	4	1	170	6.8267292269
1	1	0	3	3	283	5.9808585712
1	1	0	3	3	345	5.744853725
1	1	0	1	3	30	3.2408473274
1	1	0	2	3	165	4.5131841743
1	1	0	2	4	394	4.7788106712
1	1	0	4	4	261	7.2202701494
1	1	0	3	3	205	5.4786963147
1	1	0	1	1	30	3.2018859992
1	1	0	3	1	472	5.9350228319
1	1	0	1	2	149	3.3737196765
1	1	0	2	1	339	4.9186860144
1	1	0	1	2	32	3.3819137112
1	1	0	3	4	188	5.3925952431
1	1	0	2	3	203	4.6458151385
1	1	0	1	3	95	3.4380829593
1	1	0	3	1	436	6.0399881794
1	1	0	2	2	164	4.5234198422
1	1	0	3	3	390	5.9371735003
1	1	0	2	1	398	4.8157785659
1	1	0	4	1	461	7.5669717143
1	1	0	1	4	442	4.0816593302
1	1	0	1	1	469	4.317357691
1	1	0	2	1	161	4.4162448427
1	1	0	2	3	365	4.9953377763
1	1	0	2	2	352	4.7564293581
1	1	0	2	4	54	4.0800093529
1	1	0	2	3	94	4.296112418
1	1	0	4	4	288	6.9895183651
1	1	0	3	2	400	5.8848711578
1	1	0	2	3	289	4.923437581
1	1	0	4	2	377	7.1035514398
1	1	0	4	1	404	6.8964213199
1	1	0	2	1	256	4.5317410134
1	1	0	3	2	227	5.5423529891
1	1	0	3	2	9	5.2161983289
1	1	0	3	2	440	6.162019307
1	1	0	2	3	386	5.0367714458
1	1	0	2	2	411	4.9705068605
1	1	0	2	4	350	4.9710942529
1	1	0	3	2	1	5.3112950667
1	1	0	3	4	238	5.629610035
1	1	0	2	4	119	4.2723622443
1	1	0	1	1	221	3.7305613106
1	1	0	2	1	208	4.5935051844
1	1	0	3	2	479	6.1749751332
1	1	0	3	3	489	6.4435361005
1	1	0	1	2	378	3.8701791213
1	1	0	4	1	143	6.6158456051
1	1	0	4	3	472	7.6630323324
1	1	0	1	3	436	4.120250318
1	1	0	1	3	433	3.7737831056
1	1	0	1	4	342	3.8074013309
1	1	0	2	1	303	4.6273384723
1	1	0	2	2	415	4.8576052503
1	1	0	3	3	398	5.6827182339
1	1	0	3	3	157	5.6160558565
